epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2832,1.95449,2.17645,1.26227,0.31581,0.1485,0.10322,0.04536,2.09142,6.88039,1.37346,0.073116,0.00261768,0.00261768
2,88.6807,1.90674,1.74618,1.25133,0.61592,0.21586,0.18858,0.08155,2.09878,2.50419,1.36864,0.0424017,0.00504816,0.00504816
3,128.672,1.87991,1.62329,1.23396,0.57754,0.22862,0.17675,0.07317,2.29992,2.45,1.4802,0.0114785,0.00726966,0.00726966
4,168.627,1.82447,1.55782,1.20565,0.75132,0.25591,0.28099,0.1335,1.81955,1.80914,1.24384,0.00725228,0.00725228,0.00725228
5,208.362,1.79743,1.50432,1.18417,0.70719,0.29526,0.3002,0.14721,1.78951,1.74904,1.20507,0.00692637,0.00692637,0.00692637
6,248.347,1.72371,1.41746,1.17804,0.76524,0.33418,0.36141,0.18865,1.66009,1.42893,1.16082,0.00660046,0.00660046,0.00660046
7,288.372,1.72992,1.39658,1.15687,0.65846,0.28385,0.27487,0.13031,1.83279,1.66393,1.18537,0.00627455,0.00627455,0.00627455
8,328.107,1.70288,1.39024,1.15361,0.75343,0.25174,0.29593,0.14252,1.78716,1.64581,1.19967,0.00594864,0.00594864,0.00594864
9,367.58,1.69215,1.32003,1.13491,0.8245,0.35737,0.4042,0.21341,1.66485,1.31499,1.14249,0.00562274,0.00562274,0.00562274
10,407.341,1.68769,1.32025,1.13975,0.79694,0.33544,0.37687,0.19775,1.66209,1.4102,1.15161,0.00529683,0.00529683,0.00529683
11,446.72,1.66966,1.29694,1.13343,0.77513,0.3229,0.34562,0.17801,1.73568,1.40865,1.16186,0.00497092,0.00497092,0.00497092
12,486.375,1.6413,1.25341,1.11778,0.79798,0.37419,0.4072,0.22003,1.55405,1.23146,1.1044,0.00464501,0.00464501,0.00464501
13,525.737,1.60104,1.21485,1.11182,0.84193,0.38251,0.43376,0.24169,1.52555,1.14639,1.10329,0.0043191,0.0043191,0.0043191
14,565.593,1.61177,1.20365,1.10683,0.82669,0.38983,0.43331,0.23521,1.5648,1.13024,1.10357,0.0039932,0.0039932,0.0039932
15,605.203,1.5991,1.17652,1.10438,0.8471,0.39818,0.45212,0.25165,1.50537,1.11423,1.08563,0.00366729,0.00366729,0.00366729
16,645.321,1.55139,1.13715,1.1011,0.84591,0.39203,0.46434,0.25467,1.5451,1.08158,1.09954,0.00334138,0.00334138,0.00334138
17,683.31,1.53404,1.09192,1.09255,0.73046,0.42963,0.46909,0.25948,1.4826,1.07176,1.07265,0.00301547,0.00301547,0.00301547
18,721.271,1.50996,1.08076,1.08485,0.72948,0.46954,0.48476,0.26903,1.4898,1.02163,1.08772,0.00268956,0.00268956,0.00268956
19,759.286,1.50245,1.04844,1.07525,0.8526,0.41852,0.50739,0.27444,1.46136,1.00417,1.05288,0.00236366,0.00236366,0.00236366
20,797.01,1.488,1.01794,1.06837,0.71146,0.48642,0.51722,0.30041,1.44051,0.98069,1.05386,0.00203775,0.00203775,0.00203775
21,834.891,1.48113,1.0064,1.06542,0.84035,0.44281,0.53399,0.2933,1.44722,0.99131,1.04691,0.00171184,0.00171184,0.00171184
22,872.789,1.48306,1.00666,1.06737,0.68838,0.41706,0.50438,0.29564,1.41838,0.96181,1.05009,0.00138593,0.00138593,0.00138593
23,910.465,1.44765,0.97979,1.0514,0.77958,0.43935,0.52967,0.3011,1.40379,0.93616,1.03583,0.00106002,0.00106002,0.00106002
24,947.511,1.41819,0.95546,1.04605,0.83175,0.4658,0.53036,0.29814,1.39036,0.92688,1.03208,0.000734116,0.000734116,0.000734116
25,985.067,1.41766,0.93844,1.03825,0.7805,0.46387,0.53329,0.30253,1.39332,0.88259,1.03053,0.000408208,0.000408208,0.000408208
