epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9674,1.92434,2.18547,1.23883,0.70316,0.09482,0.16184,0.07799,2.0873,12.7729,1.36775,0.0672775,0.00229675,0.00229675
2,89.1274,1.90264,1.66863,1.24862,0.76681,0.15171,0.14736,0.06606,2.25867,2.26165,1.36678,0.0358543,0.00442924,0.00442924
3,129.504,1.87704,1.62178,1.24391,0.81685,0.17648,0.21965,0.09397,2.13332,3.00455,1.34048,0.00624302,0.00624302,0.00624302
4,169.775,1.80766,1.57577,1.20638,0.47995,0.20536,0.21935,0.09972,1.92997,2.58609,1.25606,0.00597454,0.00597454,0.00597454
5,209.572,1.80562,1.49018,1.18994,0.78857,0.33488,0.36506,0.1816,1.75275,1.50821,1.19514,0.00570605,0.00570605,0.00570605
6,249.267,1.73736,1.44842,1.16092,0.72195,0.27208,0.2794,0.13714,1.86686,1.69259,1.18142,0.00543756,0.00543756,0.00543756
7,289.129,1.71538,1.40533,1.14248,0.73166,0.3152,0.33374,0.17457,1.64593,1.94389,1.14221,0.00516907,0.00516907,0.00516907
8,328.973,1.66475,1.33632,1.13648,0.79749,0.34447,0.3736,0.18963,1.67531,1.48759,1.13448,0.00490058,0.00490058,0.00490058
9,368.516,1.65599,1.29537,1.12588,0.73135,0.31358,0.33129,0.17133,1.69257,1.51185,1.13735,0.0046321,0.0046321,0.0046321
10,408.201,1.6404,1.27501,1.11537,0.81767,0.36808,0.40754,0.22571,1.52525,1.25081,1.08539,0.00436361,0.00436361,0.00436361
11,447.85,1.62069,1.23145,1.11542,0.77867,0.3529,0.39529,0.20489,1.69191,1.32366,1.14516,0.00409512,0.00409512,0.00409512
12,487.835,1.6116,1.21399,1.10794,0.81924,0.39555,0.43348,0.2314,1.54741,1.18145,1.07426,0.00382663,0.00382663,0.00382663
13,527.527,1.57977,1.20685,1.09696,0.84539,0.38689,0.46441,0.24802,1.54342,1.09829,1.09746,0.00355814,0.00355814,0.00355814
14,567.279,1.59401,1.19046,1.09047,0.61276,0.36433,0.44023,0.24998,1.54121,1.23248,1.07882,0.00328966,0.00328966,0.00328966
15,607.036,1.57937,1.15155,1.08839,0.85679,0.41319,0.47428,0.26169,1.5002,1.05761,1.06477,0.00302117,0.00302117,0.00302117
16,647.674,1.50671,1.10663,1.06973,0.84451,0.4139,0.47171,0.25322,1.52705,1.07169,1.08467,0.00275268,0.00275268,0.00275268
17,685.483,1.50994,1.06796,1.07601,0.7072,0.4423,0.50341,0.27049,1.467,1.01898,1.0615,0.00248419,0.00248419,0.00248419
18,723.074,1.49277,1.05141,1.06419,0.66956,0.47283,0.48065,0.26335,1.47641,1.02507,1.06204,0.0022157,0.0022157,0.0022157
19,760.953,1.47911,1.0257,1.0521,0.67709,0.46935,0.48595,0.26916,1.43282,0.96936,1.04327,0.00194722,0.00194722,0.00194722
20,798.756,1.47168,0.99168,1.05917,0.85075,0.42351,0.47813,0.26845,1.46346,0.96793,1.05587,0.00167873,0.00167873,0.00167873
21,836.702,1.46303,0.97284,1.05679,0.73294,0.46387,0.50556,0.28277,1.45279,0.96767,1.04912,0.00141024,0.00141024,0.00141024
22,874.954,1.4523,0.96937,1.04903,0.77461,0.45445,0.52291,0.29632,1.41859,0.95136,1.04245,0.00114175,0.00114175,0.00114175
23,912.964,1.42523,0.94777,1.03866,0.69852,0.52608,0.53107,0.30256,1.3989,0.93017,1.02827,0.000873264,0.000873264,0.000873264
24,950.92,1.40029,0.92822,1.03275,0.77989,0.46643,0.53891,0.30988,1.38559,0.91218,1.02386,0.000604776,0.000604776,0.000604776
25,989.183,1.40455,0.9097,1.02668,0.71432,0.52743,0.52838,0.30604,1.3807,0.8705,1.02468,0.000336288,0.000336288,0.000336288
