epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6957,1.92685,2.11718,1.23419,0.62509,0.18879,0.22922,0.09955,1.99111,2.05652,1.28518,0.07236,0.00230667,0.00230667
2,89.0572,1.9071,1.68997,1.23571,0.10367,0.38399,0.0984,0.04293,2.22062,17.0919,1.42376,0.0391948,0.00444837,0.00444837
3,129.787,1.87176,1.59626,1.22225,0.67031,0.19126,0.18937,0.07701,2.1262,2.11329,1.28332,0.00637194,0.00637194,0.00637194
4,170.445,1.79014,1.49062,1.18645,0.7405,0.30432,0.31087,0.14862,1.81903,2.42303,1.21764,0.0060979,0.0060979,0.0060979
5,210.996,1.76087,1.43686,1.17436,0.72137,0.28747,0.29324,0.14839,1.80466,1.64303,1.17596,0.00582387,0.00582387,0.00582387
6,251.72,1.70518,1.35248,1.15541,0.8052,0.32619,0.37262,0.18545,1.71797,1.89925,1.15941,0.00554984,0.00554984,0.00554984
7,292.709,1.67322,1.31178,1.13675,0.6997,0.3525,0.3271,0.16556,1.76088,1.99456,1.17144,0.00527581,0.00527581,0.00527581
8,333.485,1.64174,1.26073,1.12271,0.63182,0.30394,0.34404,0.17538,1.75396,1.67463,1.14736,0.00500178,0.00500178,0.00500178
9,374.318,1.63613,1.21051,1.11442,0.82712,0.38085,0.46304,0.24389,1.57889,1.1766,1.11078,0.00472774,0.00472774,0.00472774
10,415.088,1.61258,1.21387,1.10453,0.80449,0.31192,0.36991,0.18719,1.6977,1.44995,1.12828,0.00445371,0.00445371,0.00445371
11,455.378,1.56967,1.16198,1.09324,0.85147,0.38151,0.4465,0.24147,1.54672,1.10018,1.10219,0.00417968,0.00417968,0.00417968
12,496.271,1.56648,1.1335,1.08197,0.8184,0.38066,0.44312,0.23778,1.54294,1.18648,1.0917,0.00390565,0.00390565,0.00390565
13,536.526,1.55938,1.11766,1.07692,0.8798,0.39542,0.46357,0.25382,1.50841,1.07809,1.07344,0.00363162,0.00363162,0.00363162
14,576.947,1.53245,1.09879,1.06925,0.86928,0.41157,0.48777,0.2712,1.48174,0.9818,1.07093,0.00335758,0.00335758,0.00335758
15,617.356,1.51978,1.07793,1.06664,0.85015,0.41626,0.47271,0.27029,1.47101,1.02016,1.05663,0.00308355,0.00308355,0.00308355
16,658.348,1.49132,1.04824,1.06387,0.6456,0.47601,0.48406,0.27477,1.4775,1.03492,1.0657,0.00280952,0.00280952,0.00280952
17,697.153,1.4724,1.00826,1.06197,0.84203,0.36525,0.42667,0.23395,1.52011,1.16327,1.06867,0.00253549,0.00253549,0.00253549
18,735.884,1.45944,0.99493,1.05072,0.67052,0.43293,0.51082,0.29054,1.45462,0.98277,1.05663,0.00226146,0.00226146,0.00226146
19,774.749,1.45202,0.96588,1.04328,0.75068,0.45138,0.5322,0.2968,1.4553,0.97434,1.03822,0.00198742,0.00198742,0.00198742
20,813.684,1.43846,0.94735,1.03998,0.67153,0.42967,0.4949,0.27812,1.46703,0.95915,1.04995,0.00171339,0.00171339,0.00171339
21,852.248,1.40443,0.91073,1.02982,0.88476,0.44792,0.51883,0.29498,1.41409,0.93809,1.03553,0.00143936,0.00143936,0.00143936
22,890.726,1.40971,0.90893,1.02851,0.69049,0.45484,0.5149,0.29541,1.39233,0.90243,1.02231,0.00116533,0.00116533,0.00116533
23,929.908,1.38288,0.88269,1.01988,0.7696,0.47861,0.5474,0.31941,1.39439,0.86247,1.02025,0.000891296,0.000891296,0.000891296
24,968.731,1.35697,0.85887,1.01312,0.72527,0.48346,0.5444,0.32302,1.3534,0.83974,1.01171,0.000617264,0.000617264,0.000617264
25,1007.52,1.35295,0.84668,1.00722,0.77888,0.48379,0.5424,0.31825,1.34566,0.84,1.01053,0.000343232,0.000343232,0.000343232
